pseudo_ID	hc1100	phylotype	compare2EB	completeness	contamination
iso060	CC_1	B2	FALSE	99.97	0.04
iso061	CC_1	B2	FALSE	99.97	0.04
iso062	CC_1	B2	FALSE	99.97	0.04
iso063	CC_1	B2	FALSE	99.97	0.04
iso064	CC_1	B2	FALSE	99.97	0.04
iso065	CC_1	B2	FALSE	99.97	0.08
iso066	CC_1	B2	FALSE	99.97	0.08
iso067	CC_1	B2	FALSE	99.97	0.08
iso068	CC_1	B2	FALSE	99.97	0.08
iso069	CC_1	B2	FALSE	99.97	0.08
iso070	CC_1	B2	FALSE	99.97	0.08
iso071	CC_1	B2	FALSE	99.97	0.08
iso072	CC_1	B2	FALSE	99.97	0.08
iso073	CC_1	B2	FALSE	99.97	0.08
iso074	CC_1	U	FALSE	99.97	0.08
iso075	CC_1	B2	FALSE	99.97	0.08
iso076	CC_1	B2	FALSE	99.97	0.08
iso077	CC_1	B2	FALSE	99.97	0.08
iso078	CC_1	B2	FALSE	99.97	0.08
iso079	CC_1	B2	FALSE	99.97	0.34
iso080	CC_1	B2	FALSE	99.97	0.08
iso081	CC_1	B2	FALSE	99.97	0.08
iso082	CC_1	B2	FALSE	99.97	0.19
iso083	CC_1	B2	FALSE	99.97	0.19
iso084	CC_1	B2	FALSE	99.97	0.19
iso085	CC_1	B2	FALSE	99.97	0.08
iso086	CC_1	B2	FALSE	99.97	0.08
iso087	CC_1	B2	FALSE	99.97	0.04
iso088	CC_1	B2	FALSE	99.97	0.04
iso089	CC_1	B2	FALSE	99.97	0.04
iso090	CC_491	B2	FALSE	99.97	0.61
iso091	CC_326	B2	FALSE	99.67	0.33
iso092	CC_326	B2	FALSE	99.67	0.33
iso093	CC_326	B2	FALSE	99.67	0.33
iso094	CC_326	B2	FALSE	99.67	0.33
iso095	CC_326	B2	FALSE	99.67	0.33
iso096	CC_13	B2	FALSE	99.93	0.14
iso097	CC_13	B2	FALSE	99.93	0.14
iso098	CC_13	B2	FALSE	99.93	0.14
iso099	CC_240	B2	FALSE	99.97	0.23
iso100	CC_240	B2	TRUE	100	104.17
iso101	CC_239	B2	FALSE	99.97	0.14
iso102	CC_239	B2	FALSE	99.97	0.14
iso103	CC_71	B2	FALSE	99.97	0.07
iso104	CC_71	B2	FALSE	99.97	0.07
iso105	CC_71	B2	TRUE	100	88.79
iso106	CC_71	B2	FALSE	99.97	0.07
iso107	CC_71	B2	FALSE	99.97	0.07
iso108	CC_71	B2	FALSE	99.97	0.07
iso109	CC_71	B2	FALSE	99.97	0.37
iso110	CC_71	B2	FALSE	99.97	0.07
iso111	CC_71	B2	FALSE	99.97	0.07
iso112	CC_71	B2	FALSE	99.97	0.07
iso113	CC_71	B2	FALSE	99.97	0.07
iso114	CC_631	B2	FALSE	99.67	0.11
iso115	CC_346	B2	FALSE	99.97	0.08
iso116	CC_346	B2	FALSE	99.97	0.08
iso117	CC_346	B2	FALSE	99.97	0.08
iso118	CC_346	B2	FALSE	99.97	0.08
iso119	CC_346	B2	FALSE	99.97	0.08
iso120	CC_346	B2	FALSE	99.97	0.08
iso121	CC_65	B2	FALSE	99.97	0.18
iso122	CC_65	B2	FALSE	99.97	0.18
iso123	CC_65	B2	FALSE	99.93	0.09
iso124	CC_65	B2	FALSE	99.93	0.09
iso125	CC_65	B2	FALSE	99.93	0.09
iso126	CC_65	B2	FALSE	99.93	0.09
iso127	CC_65	B2	TRUE	100	95.83
iso128	CC_65	B2	FALSE	99.97	0.55
iso129	CC_65	B2	FALSE	99.97	0.39
iso130	CC_65	B2	FALSE	99.97	0.39
iso131	CC_65	B2	FALSE	99.97	0.39
iso132	CC_65	B2	FALSE	99.97	0.39
iso133	CC_65	B2	FALSE	99.97	0.39
iso134	CC_65	B2	FALSE	99.97	0.39
iso135	CC_65	B2	TRUE	100	95.83
iso136	CC_65	B2	FALSE	99.97	0.39
iso137	CC_65	B2	FALSE	99.97	0.47
iso138	CC_65	B2	FALSE	99.97	0.39
iso139	CC_65	B2	TRUE	100	100.38
iso140	CC_65	B2	FALSE	99.97	0.39
iso141	CC_65	B2	FALSE	99.97	0.39
iso142	CC_65	B2	FALSE	99.97	0.46
iso143	CC_65	B2	FALSE	99.89	0.94
iso144	CC_65	B2	FALSE	99.89	0.04
iso145	CC_65	B2	FALSE	99.89	0.1
iso146	CC_65	B2	FALSE	99.86	2.68
iso147	CC_65	B2	FALSE	99.89	0.04
iso148	CC_65	B2	FALSE	99.89	0.04
iso149	CC_73	B2	FALSE	99.97	0.04
iso150	CC_73	B2	FALSE	99.97	0.17
iso151	CC_73	B2	FALSE	99.97	0.17
iso152	CC_68	B2	FALSE	99.97	0.52
iso153	CC_68	B2	FALSE	99.97	1.38
iso154	CC_68	B2	FALSE	99.97	0.42
iso155	CC_68	B2	FALSE	99.97	0.39
iso156	CC_68	B2	FALSE	99.97	0.39
iso157	CC_68	B2	FALSE	99.97	0.39
iso158	CC_68	B2	FALSE	99.97	0.39
iso159	CC_68	B2	FALSE	99.97	0.39
iso160	CC_68	B2	FALSE	99.97	0.39
iso161	CC_68	B2	FALSE	99.97	0.39
iso162	CC_68	B2	FALSE	99.97	0.39
iso163	CC_68	B2	FALSE	99.97	0.39
iso164	CC_68	B2	FALSE	99.97	0.39
iso165	CC_68	B2	FALSE	99.97	0.39
iso166	CC_68	B2	FALSE	99.97	0.39
iso167	CC_68	B2	FALSE	99.97	0.42
iso168	CC_68	B2	FALSE	99.97	0.39
iso169	CC_68	B2	FALSE	99.97	0.39
iso170	CC_68	B2	FALSE	99.97	1.1
iso171	CC_68	B2	FALSE	99.97	0.39
iso172	CC_68	B2	FALSE	99.97	0.39
iso173	CC_68	B2	FALSE	99.97	0.39
iso174	CC_68	B2	FALSE	99.97	2.66
iso175	CC_68	B2	TRUE	99.97	3.1
iso176	CC_68	B2	FALSE	99.97	0.39
iso177	CC_68	B2	FALSE	99.97	0.39
iso178	CC_68	B2	FALSE	99.67	2.18
iso179	CC_68	B2	FALSE	99.97	0.39
iso180	CC_68	B2	FALSE	99.97	0.39
iso181	CC_68	B2	FALSE	99.97	0.39
iso182	CC_68	B2	FALSE	99.97	0.39
iso183	CC_68	B2	FALSE	99.97	0.82
iso184	CC_68	B2	FALSE	99.97	0.33
iso185	CC_68	B2	FALSE	99.97	0.39
iso186	CC_68	B2	FALSE	99.97	0.54
iso187	CC_68	B2	FALSE	99.97	0.41
iso188	CC_68	B2	FALSE	99.97	0.23
iso189	CC_68	B2	FALSE	99.97	0.23
iso190	CC_68	B2	FALSE	99.97	0.23
iso191	CC_68	B2	FALSE	99.97	0.23
iso192	CC_68	B2	FALSE	99.97	0.23
iso193	CC_68	B2	FALSE	99.97	0.09
iso194	CC_68	B2	FALSE	99.97	0.09
iso195	CC_68	B2	FALSE	99.97	0.08
iso196	CC_68	B2	FALSE	99.97	0.08
iso197	CC_68	B2	FALSE	99.97	0.08
iso198	CC_68	B2	FALSE	99.97	0.08
iso199	CC_68	U	FALSE	99.97	1.31
iso200	CC_68	B2	FALSE	99.97	0.41
iso201	CC_68	B2	FALSE	99.97	0.18
iso202	CC_68	B2	FALSE	99.97	0.87
iso203	CC_68	B2	FALSE	99.97	0.08
iso204	CC_68	B2	FALSE	99.97	0.08
iso205	CC_615	B2	FALSE	99.97	0.1
iso206	CC_583	B2	FALSE	99.97	0.45
iso207	CC_259	B2	FALSE	99.97	0.13
iso208	CC_259	B2	FALSE	99.97	0.13
iso209	CC_259	B2	FALSE	99.97	0.13
iso210	CC_259	B2	FALSE	99.97	0.13
iso211	CC_241	B2	FALSE	99.97	0.14
iso212	CC_241	B2	FALSE	99.97	0.14
iso213	CC_241	B2	FALSE	99.97	0.14
iso214	CC_241	B2	FALSE	99.97	0.14
iso215	CC_608	B2	FALSE	99.93	0.04
iso216	CC_280	B2	FALSE	99.97	0.1
iso217	CC_181	B2	FALSE	99.97	0.14
iso218	CC_181	B2	FALSE	99.97	0.51
iso219	CC_181	B2	FALSE	99.97	0.14
iso220	CC_181	B2	FALSE	99.97	0.07
iso221	CC_181	B2	FALSE	99.97	0.07
iso222	CC_181	B2	FALSE	99.97	0.07
iso223	CC_181	B2	FALSE	99.97	0.04
iso224	CC_181	B2	FALSE	99.97	0.04
iso225	CC_601	B2	FALSE	99.97	0.68
iso226	CC_19	B2	FALSE	99.97	0.37
iso227	CC_19	B2	FALSE	99.97	0.41
iso228	CC_19	B2	FALSE	99.97	0.41
iso229	CC_19	B2	FALSE	99.97	0.41
iso230	CC_19	B2	FALSE	99.97	0.41
iso231	CC_19	B2	FALSE	99.97	0.41
iso232	CC_19	B2	FALSE	99.97	0.56
iso233	CC_19	B2	FALSE	99.97	1
iso234	CC_19	B2	FALSE	99.97	0.61
iso235	CC_19	B2	TRUE	99.97	13.35
iso236	CC_19	B2	FALSE	99.97	0.37
iso237	CC_19	B2	FALSE	99.97	0.37
iso238	CC_19	B2	FALSE	99.97	0.37
iso239	CC_19	B2	FALSE	99.97	0.67
iso240	CC_19	B2	FALSE	99.97	0.37
iso241	CC_19	B2	FALSE	99.97	0.37
iso242	CC_19	B2	FALSE	99.97	0.37
iso243	CC_19	B2	FALSE	99.97	0.41
iso244	CC_19	B2	FALSE	99.97	0.41
iso245	CC_19	B2	FALSE	99.97	0.41
iso246	CC_19	B2	FALSE	99.97	0.41
iso247	CC_19	B2	FALSE	99.97	0.33
iso248	CC_19	B2	FALSE	99.97	0.33
iso249	CC_19	B2	FALSE	99.97	0.33
iso250	CC_19	B2	FALSE	99.97	0.33
iso251	CC_19	B2	FALSE	99.97	0.33
iso252	CC_19	B2	FALSE	99.97	0.78
iso253	CC_19	B2	FALSE	99.97	0.33
iso254	CC_19	B2	FALSE	99.97	0.37
iso255	CC_19	B2	FALSE	99.97	0.37
iso256	CC_19	B2	FALSE	99.97	0.37
iso257	CC_19	B2	TRUE	100	100.73
iso258	CC_19	B2	FALSE	99.97	0.39
iso259	CC_19	B2	FALSE	99.97	0.39
iso260	CC_19	B2	FALSE	99.97	0.33
iso261	CC_19	B2	FALSE	99.97	0.33
iso262	CC_19	B2	FALSE	99.97	0.33
iso263	CC_19	B2	FALSE	99.97	0.33
iso264	CC_19	B2	FALSE	99.97	0.33
iso265	CC_19	B2	FALSE	99.97	0.33
iso266	CC_19	B2	FALSE	99.97	0.33
iso267	CC_19	B2	FALSE	99.97	0.33
iso268	CC_19	B2	TRUE	100	87.27
iso269	CC_19	B2	FALSE	99.97	0.33
iso270	CC_19	B2	FALSE	99.97	0.33
iso271	CC_19	B2	FALSE	99.97	0.33
iso272	CC_19	B2	FALSE	99.97	0.33
iso273	CC_19	B2	FALSE	99.97	0.33
iso274	CC_19	B2	FALSE	99.97	0.33
iso275	CC_19	B2	FALSE	99.97	0.39
iso276	CC_19	B2	FALSE	99.97	0.33
iso277	CC_19	B2	FALSE	99.97	0.33
iso278	CC_19	B2	FALSE	99.97	0.33
iso279	CC_19	B2	FALSE	99.97	0.33
iso280	CC_19	B2	FALSE	99.97	0.33
iso281	CC_19	B2	FALSE	99.97	0.41
iso282	CC_19	B2	FALSE	99.97	1.46
iso283	CC_19	B2	FALSE	99.97	0.33
iso284	CC_19	B2	FALSE	99.97	1.35
iso285	CC_19	B2	FALSE	99.97	0.38
iso286	CC_19	B2	FALSE	99.97	0.38
iso287	CC_19	B2	FALSE	99.97	0.33
iso288	CC_19	B2	FALSE	99.97	0.39
iso289	CC_19	B2	FALSE	99.97	0.39
iso290	CC_19	B2	FALSE	99.97	0.39
iso291	CC_19	B2	FALSE	99.97	0.39
iso292	CC_216	B2	FALSE	99.97	0.96
iso293	CC_216	B2	FALSE	99.97	0.14
iso294	CC_79	B2	FALSE	99.97	0.33
iso295	CC_79	B2	FALSE	99.97	0.33
iso296	CC_79	B2	TRUE	100	96.87
iso297	CC_79	B2	FALSE	99.97	0.33
iso298	CC_79	B2	FALSE	99.97	0.33
iso299	CC_79	B2	FALSE	99.93	0.33
iso300	CC_20	B2	FALSE	99.97	0.04
iso301	CC_20	B2	FALSE	99.97	0.04
iso302	CC_20	B2	FALSE	99.97	0.09
iso303	CC_20	B2	FALSE	99.97	0.07
iso304	CC_20	B2	FALSE	99.74	0.04
iso305	CC_20	B2	FALSE	99.97	0.04
iso306	CC_20	B2	FALSE	99.97	0.33
iso307	CC_20	B2	FALSE	99.97	0.04
iso308	CC_20	B2	FALSE	99.97	0.04
iso309	CC_20	B2	FALSE	99.97	0.04
iso310	CC_20	B2	FALSE	99.97	0.04
iso311	CC_20	B2	FALSE	99.97	0.04
iso312	CC_20	B2	FALSE	99.97	0.04
iso313	CC_20	B2	FALSE	99.97	0.04
iso314	CC_20	B2	FALSE	99.97	0.23
iso315	CC_20	B2	FALSE	99.97	0.04
iso316	CC_20	B2	FALSE	99.97	0.1
iso317	CC_20	B2	FALSE	99.97	0.1
iso318	CC_20	B2	FALSE	99.97	0.04
iso319	CC_20	B2	FALSE	99.97	0.04
iso320	CC_20	B2	FALSE	99.97	0.04
iso321	CC_20	B2	FALSE	99.97	0.04
iso322	CC_20	B2	FALSE	99.97	0.04
iso323	CC_20	B2	FALSE	99.97	0.33
iso324	CC_20	B2	FALSE	99.97	0.04
iso325	CC_20	B2	FALSE	99.97	0.04
iso326	CC_302	B2	FALSE	99.97	0.33
iso327	CC_302	B2	FALSE	99.97	0.33
iso328	CC_302	B2	TRUE	100	100
iso329	CC_302	B2	FALSE	99.97	0.33
iso330	CC_302	B2	FALSE	99.97	0.33
iso331	CC_302	B2	FALSE	99.97	0.33
iso332	CC_302	B2	FALSE	99.97	0.33
iso333	CC_302	B2	FALSE	99.97	0.33
iso334	CC_117	D	FALSE	99.67	0.26
iso335	CC_117	D	FALSE	99.67	0.26
iso336	CC_117	D	FALSE	99.97	0.12
iso337	CC_117	D	FALSE	99.97	1.4
iso338	CC_53	D	FALSE	99.97	0.18
iso339	CC_53	D	FALSE	99.97	0.18
iso340	CC_155	D	TRUE	100	100
iso341	CC_155	D	FALSE	99.93	0.18
iso342	CC_155	D	FALSE	99.93	0.18
iso343	CC_155	D	FALSE	99.93	0.18
iso344	CC_155	D	FALSE	99.93	0.14
iso345	CC_155	D	FALSE	99.93	0.14
iso346	CC_155	D	FALSE	99.93	0.14
iso347	CC_133	D	FALSE	99.93	0.26
iso348	CC_133	D	FALSE	99.89	0.42
iso349	CC_72	D	FALSE	99.93	0.2
iso350	CC_72	D	FALSE	99.93	0.2
iso351	CC_72	D	FALSE	99.93	0.91
iso352	CC_72	D	FALSE	99.93	0.2
iso353	CC_72	D	FALSE	99.93	0.2
iso354	CC_72	D	FALSE	99.93	0.2
iso355	CC_8	D	FALSE	99.97	0.23
iso356	CC_8	D	FALSE	99.97	0.23
iso357	CC_8	D	TRUE	100	831.18
iso358	CC_8	D	FALSE	99.93	0.14
iso359	CC_8	D	FALSE	99.93	0.47
iso360	CC_8	D	FALSE	99.97	0.04
iso361	CC_8	D	FALSE	99.97	0.06
iso362	CC_8	D	FALSE	99.97	0.06
iso363	CC_8	D	FALSE	99.97	0.06
iso364	CC_8	D	FALSE	99.97	0.04
iso365	CC_8	D	FALSE	99.97	0.82
iso366	CC_8	D	FALSE	99.97	0.82
iso367	CC_8	D	FALSE	99.97	0.04
iso368	CC_8	D	FALSE	99.97	0.23
iso369	CC_8	D	FALSE	99.97	0.23
iso370	CC_8	D	FALSE	99.97	0.72
iso371	CC_8	D	FALSE	99.97	0.23
iso372	CC_8	D	FALSE	99.97	0.39
iso373	CC_8	D	FALSE	99.97	0.88
iso374	CC_8	D	FALSE	99.97	0.09
iso375	CC_8	D	FALSE	99.97	0.09
iso376	CC_8	D	FALSE	99.97	0.39
iso377	CC_8	D	FALSE	99.97	0.39
iso378	CC_8	D	FALSE	99.97	0.39
iso379	CC_8	D	FALSE	99.97	0.17
iso380	CC_313	D	FALSE	99.97	0.04
iso381	CC_313	D	FALSE	99.97	0.14
iso382	CC_643	G	FALSE	99.97	0.38
iso383	CC_643	G	FALSE	99.97	0.54
iso384	CC_617	D	FALSE	99.97	0.04
iso385	CC_617	G	FALSE	99.97	0.04
iso386	CC_603	D	FALSE	99.97	0.07
iso387	CC_603	G	FALSE	99.97	0.04
iso388	CC_11	D	FALSE	99.97	1.89
iso389	CC_11	D	FALSE	99.97	0.09
iso390	CC_11	D	FALSE	99.97	0.09
iso391	CC_11	D	FALSE	99.97	0.09
iso392	CC_11	D	FALSE	99.97	0.15
iso393	CC_11	D	FALSE	99.97	0.21
iso394	CC_11	D	FALSE	99.97	0.09
iso395	CC_11	D	FALSE	99.97	0.09
iso396	CC_11	D	FALSE	99.97	0.09
iso397	CC_11	D	FALSE	99.97	0.09
iso398	CC_11	D	FALSE	99.97	0.38
iso399	CC_11	D	FALSE	99.97	0.09
iso400	CC_11	D	FALSE	99.97	0.09
iso401	CC_11	D	FALSE	99.97	0.09
iso402	CC_11	D	FALSE	99.97	0.09
iso403	CC_11	D	FALSE	99.97	0.09
iso404	CC_11	D	FALSE	99.97	0.09
iso405	CC_11	D	FALSE	99.97	0.09
iso406	CC_11	D	FALSE	99.97	0.09
iso407	CC_11	D	FALSE	99.97	0.09
iso408	CC_11	D	FALSE	99.97	0.09
iso409	CC_11	D	FALSE	99.97	0.09
iso410	CC_11	D	FALSE	99.97	0.09
iso411	CC_11	D	TRUE	100	66.19
iso412	CC_11	D	FALSE	99.97	0.09
iso413	CC_11	D	FALSE	99.97	0.09
iso414	CC_11	D	FALSE	99.97	0.09
iso415	CC_11	D	FALSE	99.97	1.01
iso416	CC_11	D	FALSE	99.97	0.11
iso417	CC_11	D	FALSE	99.97	0.09
iso418	CC_11	D	FALSE	99.97	0.09
iso419	CC_11	D	FALSE	99.97	0.09
iso420	CC_11	D	FALSE	99.97	0.09
iso421	CC_11	D	FALSE	99.97	0.09
iso422	CC_11	D	FALSE	99.97	0.09
iso423	CC_11	D	FALSE	99.97	0.09
iso424	CC_11	D	FALSE	99.67	0.09
iso425	CC_11	D	FALSE	99.97	0.09
iso426	CC_11	D	FALSE	99.97	0.09
iso427	CC_11	D	FALSE	99.97	0.11
iso428	CC_11	D	FALSE	99.97	1.89
iso429	CC_11	D	FALSE	99.97	0.14
iso430	CC_11	D	FALSE	99.97	0.59
iso431	CC_11	D	FALSE	99.97	0.09
iso432	CC_11	D	FALSE	99.97	0.09
iso433	CC_11	D	FALSE	99.97	0.09
iso434	CC_11	D	FALSE	99.97	0.09
iso435	CC_11	D	FALSE	99.97	0.09
iso436	CC_11	D	FALSE	99.97	0.09
iso437	CC_11	D	FALSE	99.97	0.09
iso438	CC_11	D	FALSE	99.9	0.46
iso439	CC_11	D	FALSE	99.97	0.09
iso440	CC_11	D	FALSE	99.97	0.09
iso441	CC_11	D	FALSE	99.97	0.09
iso442	CC_11	D	FALSE	99.97	0.09
iso443	CC_11	D	FALSE	99.97	0.09
iso444	CC_11	D	FALSE	99.97	0.44
iso445	CC_11	D	FALSE	99.97	0.09
iso446	CC_11	D	FALSE	99.97	0.09
iso447	CC_11	D	FALSE	99.97	0.11
iso448	CC_11	D	FALSE	99.97	0.11
iso449	CC_11	D	FALSE	99.97	0.09
iso450	CC_11	cryptic	FALSE	99.97	2.64
iso451	CC_11	D	FALSE	99.97	0.09
iso452	CC_11	D	FALSE	99.97	0.09
iso453	CC_11	D	FALSE	99.97	0.09
iso454	CC_11	D	FALSE	99.97	0.09
iso455	CC_11	D	FALSE	99.97	0.15
iso456	CC_11	D	FALSE	99.97	0.09
iso457	CC_11	D	TRUE	99.69	97.41
iso458	CC_11	D	FALSE	99.97	0.19
iso459	CC_11	D	FALSE	99.97	0.09
iso460	CC_11	D	FALSE	99.97	0.09
iso461	CC_11	D	FALSE	99.97	0.43
iso462	CC_11	D	FALSE	99.97	0.09
iso463	CC_359	D	FALSE	99.97	0.19
iso464	CC_359	D	FALSE	99.97	0.25
iso465	CC_359	D	FALSE	99.97	1.44
iso466	CC_359	D	FALSE	99.97	0.19
iso467	CC_7	E	FALSE	99.92	0.17
iso468	CC_7	E	FALSE	99.96	0.17
iso469	CC_7	E	FALSE	99.96	0.17
iso470	CC_581	E	FALSE	99.97	0.19
iso471	CC_150	E	FALSE	99.97	0.04
iso472	CC_150	D	FALSE	99.97	2.59
iso473	CC_567	E	FALSE	99.97	0.6
iso474	CC_256	E	FALSE	99.67	0.09
iso475	CC_169	E	FALSE	99.91	0.04
iso476	CC_680	E	FALSE	99.97	0.04
iso477	CC_680	E	FALSE	99.97	0.04
iso478	CC_663	B1	FALSE	99.59	0.62
iso479	CC_432	B1	TRUE	100	58.71
iso480	CC_672	B1	FALSE	99.97	0.04
iso481	CC_152	B1	FALSE	99.93	0.5
iso482	CC_152	B1	FALSE	99.93	0.58
iso483	CC_238	B1	FALSE	99.89	2.49
iso484	CC_536	B1	FALSE	99.89	0.1
iso485	CC_167	B1	FALSE	99.83	0.19
iso486	CC_167	B1	FALSE	99.87	0.19
iso487	CC_327	B1	FALSE	99.89	0.26
iso488	CC_44	B1	FALSE	99.93	0.3
iso489	CC_44	B1	TRUE	99.89	10.99
iso490	CC_44	B1	FALSE	99.93	0.41
iso491	CC_44	B1	TRUE	100	100
iso492	CC_44	B1	FALSE	99.93	0.1
iso493	CC_403	B1	FALSE	99.93	0.16
iso494	CC_403	B1	FALSE	99.93	0.1
iso495	CC_528	B1	FALSE	99.87	0.25
iso496	CC_528	B1	FALSE	99.87	0.25
iso497	CC_561	B1	FALSE	99.93	0.35
iso498	CC_561	B1	FALSE	99.93	0.48
iso499	CC_17	B1	FALSE	99.93	0.1
iso500	CC_17	B1	FALSE	99.93	0.1
iso501	CC_17	B1	FALSE	99.93	0.1
iso502	CC_17	B1	FALSE	99.93	2.57
iso503	CC_17	B1	FALSE	99.93	0.14
iso504	CC_17	B1	FALSE	99.62	0.1
iso505	CC_17	B1	FALSE	99.93	0.1
iso506	CC_17	B1	FALSE	99.93	0.1
iso507	CC_17	B1	FALSE	99.97	0.17
iso508	CC_17	B1	FALSE	99.97	0.17
iso509	CC_17	B1	FALSE	99.93	0.14
iso510	CC_17	B1	FALSE	99.93	0.14
iso511	CC_17	B1	FALSE	99.93	0.14
iso512	CC_17	B1	FALSE	99.93	0.23
iso513	CC_17	B1	FALSE	99.93	0.23
iso514	CC_17	B1	FALSE	99.93	0.23
iso515	CC_616	B1	FALSE	99.93	0.62
iso516	CC_616	B1	FALSE	99.93	0.1
iso517	CC_594	B1	TRUE	100	58.23
iso518	CC_594	B1	FALSE	99.97	0.46
iso519	CC_395	B1	FALSE	99.93	0.14
iso520	CC_45	B1	FALSE	99.93	0.56
iso521	CC_45	B1	FALSE	99.93	0.56
iso522	CC_45	B1	FALSE	99.93	0.56
iso523	CC_45	B1	FALSE	99.93	0.26
iso524	CC_45	B1	FALSE	99.93	0.56
iso525	CC_309	B1	FALSE	99.93	0.16
iso526	CC_405	B1	FALSE	99.93	0.1
iso527	CC_405	B1	FALSE	99.93	0.15
iso528	CC_308	B1	FALSE	99.89	0.16
iso529	CC_308	B1	FALSE	99.93	0.16
iso530	CC_308	B1	FALSE	99.68	0.5
iso531	CC_379	D	FALSE	99.89	0.16
iso532	CC_379	B1	FALSE	99.89	0.14
iso533	CC_235	B1	FALSE	99.93	0.1
iso534	CC_235	B1	FALSE	99.93	0.1
iso535	CC_235	B1	FALSE	99.93	0.1
iso536	CC_235	B1	FALSE	99.93	0.1
iso537	CC_235	B1	FALSE	99.93	0.1
iso538	CC_268	B1	FALSE	99.93	0.38
iso539	CC_268	B1	FALSE	99.93	0.32
iso540	CC_10	B1	FALSE	99.93	0.1
iso541	CC_10	B1	FALSE	99.93	0.1
iso542	CC_80	B1	FALSE	99.93	0.45
iso543	CC_80	B1	FALSE	99.93	0.45
iso544	CC_80	B1	FALSE	99.93	0.45
iso545	CC_80	B1	FALSE	99.89	0.45
iso546	CC_661	B1	FALSE	99.93	0.26
iso547	CC_107	B1	FALSE	99.93	0.1
iso548	CC_107	B1	FALSE	99.93	0.1
iso549	CC_107	B1	FALSE	99.93	0.1
iso550	CC_107	B1	FALSE	99.87	0.14
iso551	CC_511	B1	FALSE	99.93	0.15
iso552	CC_511	B1	FALSE	99.93	0.15
iso553	CC_535	B1	FALSE	99.97	0.14
iso554	CC_535	B1	TRUE	100	167.07
iso555	CC_585	B1	FALSE	99.93	0.25
iso556	CC_366	B1	FALSE	99.93	0.1
iso557	CC_289	B1	FALSE	99.93	0.19
iso558	CC_646	A	FALSE	99.93	0.4
iso559	CC_498	B1	FALSE	99.93	0.69
iso560	CC_498	B1	FALSE	99.89	0.69
iso561	CC_288	B1	FALSE	99.78	2.46
iso562	CC_288	B1	FALSE	99.91	0.5
iso563	CC_288	B1	FALSE	99.93	0.25
iso564	CC_288	B1	FALSE	99.93	0.23
iso565	CC_288	B1	FALSE	99.93	0.23
iso566	CC_92	C	FALSE	99.62	0.1
