module	Assembly.barcode	MLST	HC1100	presence
module_101	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_102	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_103	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_104	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_106	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_107	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_412	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_66	ESC_BA9548AA_AS	36;24;468;13;17;11;25	CC_1	1
module_104	ESC_CA1485AA_AS	36;24;450;13;17;11;25	CC_1	1
module_231	ESC_CA1485AA_AS	36;24;450;13;17;11;25	CC_1	1
module_66	ESC_CA1485AA_AS	36;24;450;13;17;11;25	CC_1	1
module_104	ESC_CA2414AA_AS	36;647;9;13;17;11;25	CC_1	1
module_231	ESC_CA2414AA_AS	36;647;9;13;17;11;25	CC_1	1
module_359	ESC_CA2414AA_AS	36;647;9;13;17;11;25	CC_1	1
module_66	ESC_CA2414AA_AS	36;647;9;13;17;11;25	CC_1	1
module_101	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_103	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_104	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_106	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_107	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_231	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_359	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_66	ESC_CB2866AA_AS	36;1396;9;13;17;11;25	CC_1	1
module_101	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_103	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_104	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_106	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_107	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_231	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_359	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_388	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_66	ESC_CC1142AA_AS	36;24;9;13;17;11;997	CC_1	1
module_101	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_103	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_104	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_106	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_107	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_231	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_359	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_66	ESC_CC1146AA_AS	36;1760;9;13;17;11;25	CC_1	1
module_104	ESC_CC1150AA_AS	36;24;9;13;17;605;25	CC_1	1
module_231	ESC_CC1150AA_AS	36;24;9;13;17;605;25	CC_1	1
module_388	ESC_CC1150AA_AS	36;24;9;13;17;605;25	CC_1	1
module_66	ESC_CC1150AA_AS	36;24;9;13;17;605;25	CC_1	1
module_101	ESC_CC1168AA_AS	36;-214;9;13;17;11;25	CC_1	1
module_102	ESC_CC1168AA_AS	36;-214;9;13;17;11;25	CC_1	1
module_104	ESC_CC1168AA_AS	36;-214;9;13;17;11;25	CC_1	1
module_106	ESC_CC1168AA_AS	36;-214;9;13;17;11;25	CC_1	1
module_388	ESC_CC1168AA_AS	36;-214;9;13;17;11;25	CC_1	1
module_66	ESC_CC1168AA_AS	36;-214;9;13;17;11;25	CC_1	1
module_104	ESC_CC1534AA_AS	36;273;9;13;17;11;25	CC_1	1
module_231	ESC_CC1534AA_AS	36;273;9;13;17;11;25	CC_1	1
module_66	ESC_CC1534AA_AS	36;273;9;13;17;11;25	CC_1	1
module_104	ESC_CC3582AA_AS	36;1984;9;13;17;11;25	CC_1	1
module_231	ESC_CC3582AA_AS	36;1984;9;13;17;11;25	CC_1	1
module_66	ESC_CC3582AA_AS	36;1984;9;13;17;11;25	CC_1	1
module_104	ESC_CC3585AA_AS	36;1896;9;13;17;1072;25	CC_1	1
module_231	ESC_CC3585AA_AS	36;1896;9;13;17;1072;25	CC_1	1
module_66	ESC_CC3585AA_AS	36;1896;9;13;17;1072;25	CC_1	1
module_104	ESC_CC3586AA_AS	1454;24;9;13;17;11;25	CC_1	1
module_231	ESC_CC3586AA_AS	1454;24;9;13;17;11;25	CC_1	1
module_66	ESC_CC3586AA_AS	1454;24;9;13;17;11;25	CC_1	1
module_104	ESC_CC3652AA_AS	36;1896;9;13;17;11;25	CC_1	1
module_231	ESC_CC3652AA_AS	36;1896;9;13;17;11;25	CC_1	1
module_104	ESC_CC3666AA_AS	177;24;9;13;17;11;25	CC_1	1
module_231	ESC_CC3666AA_AS	177;24;9;13;17;11;25	CC_1	1
module_66	ESC_CC3666AA_AS	177;24;9;13;17;11;25	CC_1	1
module_104	ESC_CC5148AA_AS	36;24;1255;13;17;11;25	CC_1	1
module_231	ESC_CC5148AA_AS	36;24;1255;13;17;11;25	CC_1	1
module_66	ESC_CC5148AA_AS	36;24;1255;13;17;11;25	CC_1	1
module_101	ESC_DC7985AA_AS	36;24;9;258;17;11;25	CC_1	1
module_104	ESC_DC7985AA_AS	36;24;9;258;17;11;25	CC_1	1
module_231	ESC_DC7985AA_AS	36;24;9;258;17;11;25	CC_1	1
module_388	ESC_DC7985AA_AS	36;24;9;258;17;11;25	CC_1	1
module_66	ESC_DC7985AA_AS	36;24;9;258;17;11;25	CC_1	1
module_101	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_102	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_103	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_104	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_106	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_107	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_231	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_388	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_66	ESC_EC0873AA_AS	1512;24;9;13;17;11;25	CC_1	1
module_104	ESC_FA8295AA_AS	36;24;9;13;17;11;159	CC_1	1
module_66	ESC_FA8295AA_AS	36;24;9;13;17;11;159	CC_1	1
module_101	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_102	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_103	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_104	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_106	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_107	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_388	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_66	ESC_FA9667AA_AS	36;24;9;13;17;437;25	CC_1	1
module_101	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_102	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_103	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_104	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_106	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_107	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_231	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_359	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_388	ESC_FB2992AA_AS	-204;24;9;13;17;11;25	CC_1	1
module_104	ESC_FB8030AA_AS	36;1455;9;13;17;11;25	CC_1	1
module_231	ESC_FB8030AA_AS	36;1455;9;13;17;11;25	CC_1	1
module_388	ESC_FB8030AA_AS	36;1455;9;13;17;11;25	CC_1	1
module_66	ESC_FB8030AA_AS	36;1455;9;13;17;11;25	CC_1	1
module_104	ESC_FB8035AA_AS	36;24;912;13;17;770;25	CC_1	1
module_231	ESC_FB8035AA_AS	36;24;912;13;17;770;25	CC_1	1
module_388	ESC_FB8035AA_AS	36;24;912;13;17;770;25	CC_1	1
module_101	ESC_FB8083AA_AS	36;24;9;1185;17;11;25	CC_1	1
module_102	ESC_FB8083AA_AS	36;24;9;1185;17;11;25	CC_1	1
module_103	ESC_FB8083AA_AS	36;24;9;1185;17;11;25	CC_1	1
module_104	ESC_FB8083AA_AS	36;24;9;1185;17;11;25	CC_1	1
module_106	ESC_FB8083AA_AS	36;24;9;1185;17;11;25	CC_1	1
module_107	ESC_FB8083AA_AS	36;24;9;1185;17;11;25	CC_1	1
module_101	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_102	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_103	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_104	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_106	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_107	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_388	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_66	ESC_FB8085AA_AS	36;24;9;1186;17;11;25	CC_1	1
module_104	ESC_FB8087AA_AS	36;24;9;13;17;11;736	CC_1	1
module_231	ESC_FB8087AA_AS	36;24;9;13;17;11;736	CC_1	1
module_66	ESC_FB8087AA_AS	36;24;9;13;17;11;736	CC_1	1
module_101	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_102	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_103	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_104	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_106	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_107	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_231	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_359	ESC_FB8095AA_AS	1012;24;9;13;17;11;25	CC_1	1
module_101	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_102	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_103	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_104	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_106	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_107	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_231	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_359	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_66	ESC_FB8098AA_AS	36;24;918;13;899;11;25	CC_1	1
module_101	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_102	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_103	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_104	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_106	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_107	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_388	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_66	ESC_FB8109AA_AS	36;24;9;13;900;11;25	CC_1	1
module_104	ESC_FB8115AA_AS	36;24;923;13;17;11;25	CC_1	1
module_231	ESC_FB8115AA_AS	36;24;923;13;17;11;25	CC_1	1
module_101	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_102	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_103	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_104	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_106	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_107	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_231	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_359	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_388	ESC_FB8116AA_AS	36;24;9;13;17;778;25	CC_1	1
module_104	ESC_FB8561AA_AS	1025;24;9;13;17;11;25	CC_1	1
module_66	ESC_FB8561AA_AS	1025;24;9;13;17;11;25	CC_1	1
module_101	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_103	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_104	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_106	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_107	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_231	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_359	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_388	ESC_FC7342AA_AS	36;238;9;13;17;11;25	CC_1	1
module_104	ESC_FC8050AA_AS	1556;24;9;13;17;11;25	CC_1	1
module_231	ESC_FC8050AA_AS	1556;24;9;13;17;11;25	CC_1	1
module_388	ESC_FC8050AA_AS	1556;24;9;13;17;11;25	CC_1	1
module_66	ESC_FC8050AA_AS	1556;24;9;13;17;11;25	CC_1	1
module_104	ESC_FC8109AA_AS	36;24;9;13;17;1090;25	CC_1	1
module_66	ESC_FC8109AA_AS	36;24;9;13;17;1090;25	CC_1	1
module_104	ESC_FC9144AA_AS	36;24;9;13;1318;11;25	CC_1	1
module_231	ESC_FC9144AA_AS	36;24;9;13;1318;11;25	CC_1	1
module_388	ESC_FC9144AA_AS	36;24;9;13;1318;11;25	CC_1	1
module_66	ESC_FC9144AA_AS	36;24;9;13;1318;11;25	CC_1	1
module_101	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_103	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_104	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_106	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_107	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_231	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_66	ESC_FC9660AA_AS	177;24;9;1715;17;11;25	CC_1	1
module_104	ESC_FC9674AA_AS	1558;24;9;13;17;11;25	CC_1	1
module_231	ESC_FC9674AA_AS	1558;24;9;13;17;11;25	CC_1	1
module_66	ESC_FC9674AA_AS	1558;24;9;13;17;11;25	CC_1	1
module_101	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_102	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_103	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_104	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_106	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_107	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_231	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_359	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_388	ESC_FC9747AA_AS	36;24;9;13;17;11;1078	CC_1	1
module_104	ESC_GA1984AA_AS	36;24;507;13;17;11;25	CC_1	1
module_231	ESC_GA1984AA_AS	36;24;507;13;17;11;25	CC_1	1
module_66	ESC_GA1984AA_AS	36;24;507;13;17;11;25	CC_1	1
module_104	ESC_GA3370AA_AS	36;24;9;623;17;11;25	CC_1	1
module_231	ESC_GA3370AA_AS	36;24;9;623;17;11;25	CC_1	1
module_388	ESC_GA3370AA_AS	36;24;9;623;17;11;25	CC_1	1
module_66	ESC_GA3370AA_AS	36;24;9;623;17;11;25	CC_1	1
module_101	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_103	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_104	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_106	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_107	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_231	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_359	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_66	ESC_GA3398AA_AS	36;24;9;13;17;448;25	CC_1	1
module_104	ESC_GA6758AA_AS	36;24;529;13;17;11;25	CC_1	1
module_66	ESC_GA6758AA_AS	36;24;529;13;17;11;25	CC_1	1
module_101	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_102	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_103	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_104	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_106	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_107	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_231	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_359	ESC_GA6791AA_AS	36;24;9;13;17;460;25	CC_1	1
module_101	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_102	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_103	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_104	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_106	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_107	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_142	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_250	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_388	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_66	ESC_GA7591AA_AS	36;24;9;13;17;11;444	CC_1	1
module_101	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_102	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_103	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_104	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_106	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_107	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_231	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_66	ESC_GB3729AA_AS	36;24;9;13;17;5;25	CC_1	1
module_101	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_102	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_103	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_104	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_106	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_107	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_231	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_66	ESC_GB9023AA_AS	36;24;9;13;17;800;25	CC_1	1
module_104	ESC_GB9032AA_AS	36;24;9;13;920;11;25	CC_1	1
module_231	ESC_GB9032AA_AS	36;24;9;13;920;11;25	CC_1	1
module_66	ESC_GB9032AA_AS	36;24;9;13;920;11;25	CC_1	1
module_101	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_102	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_103	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_104	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_106	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_107	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_231	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_66	ESC_GB9034AA_AS	1048;24;9;13;17;11;25	CC_1	1
module_101	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_102	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_103	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_104	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_106	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_107	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_66	ESC_GB9037AA_AS	36;1486;9;13;17;11;25	CC_1	1
module_101	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_103	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_104	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_106	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_107	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_231	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_388	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_66	ESC_GB9039AA_AS	1049;24;9;13;17;11;25	CC_1	1
module_101	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_102	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_103	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_104	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_106	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_107	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_231	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_388	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_66	ESC_GC1776AA_AS	1026;24;9;13;17;11;25	CC_1	1
module_101	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_102	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_103	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_104	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_106	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_107	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_359	ESC_GC4203AA_AS	36;24;9;13;1327;11;25	CC_1	1
module_101	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_102	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_103	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_104	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_106	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_107	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_66	ESC_GC8139AA_AS	36;24;9;208;17;11;25	CC_1	1
module_101	ESC_GC8274AA_AS	36;24;9;13;17;11;1096	CC_1	1
module_102	ESC_GC8274AA_AS	36;24;9;13;17;11;1096	CC_1	1
module_103	ESC_GC8274AA_AS	36;24;9;13;17;11;1096	CC_1	1
